idAnime,name,type,episodes,status,idStudios,studios,idGenres,genres,score,idRanking,ranked
118881,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,OVA,1,Finished Airing,abc1181,Actas,D247,[],7.72,109080,#1193
118992,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,Finished Airing,abc1182,Bones,D248,"['Drama', 'Fantasy', 'Romance']",7.71,109181,#1199
119103,Arakawa Under the Bridge x Bridge,TV,13,Finished Airing,abc1183,Shaft,D249,"['Comedy', 'Romance']",7.71,109282,#1200
119214,Ai no Utagoe wo Kikasete,Movie,1,Finished Airing,abc1184,J.C.Staff,D250,"['Drama', 'Sci-Fi']",7.71,109383,#1198
119325,JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,Finished Airing,abc1185,APPP,D251,"['Action', 'Adventure', 'Horror']",7.72,109484,#1197
119436,Inazuma Eleven,TV,127,Finished Airing,abc1186,OLM,D252,[],7.72,109585,#1196
119547,Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,Movie,1,Finished Airing,abc1187,Toei Animation,D253,"['Action', 'Fantasy']",7.72,109686,#1195
119658,Hidamari Sketch x 365 Specials,Special,3,Finished Airing,abc1188,Shaft,D254,[],7.72,109787,#1194
119769,Final Fantasy VII: Advent Children,Movie,1,Finished Airing,abc1189,Square Enix Visual Works,D255,"['Action', 'Fantasy']",7.72,109888,#1192
119880,Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,Finished Airing,abc1190,Toei Animation,D256,"['Drama', 'Romance']",7.72,109989,#1190
119991,Bishoujo Senshi Sailor Moon R,TV,43,Finished Airing,abc1191,Toei Animation,D257,"['Fantasy', 'Romance']",7.72,110090,#1189
120102,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Movie,1,Finished Airing,abc1192,SANZIGEN,D258,[],7.72,110191,#1188
120213,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,ONA,2,Finished Airing,abc1193,SANZIGEN,D259,[],7.72,110292,#1187
120324,Yamato Nadeshiko Shichihenge♥,TV,25,Finished Airing,abc1194,Nippon Animation,D260,[],7.72,110393,#1185
120435,Ushiro no Shoumen Daare,Movie,1,Finished Airing,abc1195,Mushi Production,D261,[],7.72,110494,#1184
120546,Ueki no Housoku,TV,51,Finished Airing,abc1196,Studio Deen,D262,"['Action', 'Adventure', 'Supernatural']",7.72,110595,#1183
120657,Tonikaku Kawaii: Seifuku,Special,1,Finished Airing,abc1197,Seven Arcs,D263,"['Comedy', 'Romance']",7.72,110696,#1181
120768,Tomodachi Game,TV,12,Finished Airing,abc1198,Okuruto Noboru,D264,[],7.72,110797,#1180
120879,Tegamibachi Reverse,TV,25,Finished Airing,abc1199,Pierrot Plus,D265,"['Adventure', 'Fantasy']",7.72,110898,#1179
120990,Slayers,TV,26,Finished Airing,abc1200,E&G Films,D266,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.72,110999,#1178
121101,Shiki,TV,22,Finished Airing,abc1201,Daume,D267,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",7.72,111100,#1176
121212,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Movie,1,Finished Airing,abc1202,Production I.G,D268,"['Action', 'Sci-Fi']",7.72,111201,#1175
121323,Neko no Ongaeshi,Movie,1,Finished Airing,abc1203,Studio Ghibli,D269,"['Adventure', 'Award Winning', 'Drama', 'Fantasy']",7.72,111302,#1174
121434,Memories,Movie,3,Finished Airing,abc1204,Madhouse,D270,"['Award Winning', 'Drama', 'Horror', 'Sci-Fi']",7.72,111403,#1172
121545,Meitantei Conan Movie 19: Gouka no Himawari,Movie,1,Finished Airing,abc1205,TMS Entertainment,D271,"['Action', 'Mystery']",7.72,111504,#1171
121656,Kyoukai no Kanata,TV,12,Finished Airing,abc1206,Kyoto Animation,D272,"['Action', 'Fantasy']",7.72,111605,#1169
